rank,composite,rho,hof,d,p,maxtan,smiles
91,0.9312775695743836,1.9522541761398315,252.92440795898438,9.249014854431152,37.0452995300293,0.0,O=[N+]([O-])N=Cn1nnc2nc([N+](=O)[O-])n3nc([N+](=O)[O-])c([N+](=O)[O-])c3c21
92,0.9311783467581545,1.9439523220062256,85.91275024414062,9.33272933959961,37.60277557373047,0.0,O=c1c2noc([N+](=O)[O-])c2nc(C=N[N+](=O)[O-])n1[N+](=O)[O-]
93,0.9311726772163896,1.8976821899414062,234.90121459960938,9.184402465820312,37.58074188232422,0.0,[N-]=[N+]=Nc1nc(N=[N+]=[N-])nc(N=[N+]=[N-])n1
94,0.9308751661020656,1.9581239223480225,91.92227172851562,9.33302116394043,37.36185073852539,0.0,O=[N+]([O-])Nn1cnc([N+](=O)[O-])c1[N+](=O)[O-]
95,0.9305810413229497,1.9555649757385254,139.51712036132812,9.275644302368164,37.35467529296875,0.0,O=[N+]([O-])Nc1cc([N+](=O)[O-])c2nnn([N+](=O)[O-])c2nnoc1[N+](=O)[O-]
96,0.9291241961707744,1.9709641933441162,114.25433349609375,9.225604057312012,36.83550262451172,0.0,O=[N+]([O-])c1cc2nnn([N+](=O)[O-])c2n1[N+](=O)[O-]
97,0.9287356475392134,1.9455115795135498,121.71432495117188,9.17080307006836,37.328651428222656,0.0,O=c1[nH]n([N+](=O)[O-])c(=O)c2c1c([N+](=O)[O-])nn2[N+](=O)[O-]
98,0.9286565085343359,1.952134132385254,185.6976318359375,9.136584281921387,36.49732971191406,0.0,O=[N+]([O-])c1cc2nnn([N+](=O)[O-])c2nc1[N+](=O)[O-]
99,0.928535118583692,1.9214129447937012,222.78076171875,9.241924285888672,37.07633972167969,0.0,O=c1c([N+](=O)[O-])cn2nc([N+](=O)[O-])nc2n1N[N+](=O)[O-]
100,0.9283529932787664,1.944454550743103,222.65966796875,9.332751274108887,37.15568161010742,0.0,O=[N+]([O-])N=Cc1nn(C=N[N+](=O)[O-])c2c([N+](=O)[O-])nn([N+](=O)[O-])c12
